;INSEE_COM;NOM_COM;SUPERFICIE;POPULATION;CODE_DEPT;NOM_DEPT;CODE_REG;NOM_REG;Code_postal;Nom;Région
1;01365;SAINT-JEAN-SUR-VEYLE;1125;1087;01;AIN;84;AUVERGNE-RHONE-ALPES;1290.0;Ain;Rhône-Alpes
1;01247;MIJOUX;2183;374;01;AIN;84;AUVERGNE-RHONE-ALPES;1170.0;Ain;Rhône-Alpes
1;01352;SAINT-ETIENNE-SUR-REYSSOUZE;1393;550;01;AIN;84;AUVERGNE-RHONE-ALPES;1190.0;Ain;Rhône-Alpes
1;01094;CHAVANNES-SUR-REYSSOUZE;1652;715;01;AIN;84;AUVERGNE-RHONE-ALPES;1190.0;Ain;Rhône-Alpes
1;01441;VIEU-D'IZENAVE;2000;683;01;AIN;84;AUVERGNE-RHONE-ALPES;1430.0;Ain;Rhône-Alpes
1;01255;MONTAGNIEU;620;537;01;AIN;84;AUVERGNE-RHONE-ALPES;1470.0;Ain;Rhône-Alpes
1;01308;POUGNY;769;812;01;AIN;84;AUVERGNE-RHONE-ALPES;1550.0;Ain;Rhône-Alpes
1;01044;BILLIAT;1400;547;01;AIN;84;AUVERGNE-RHONE-ALPES;1200.0;Ain;Rhône-Alpes
1;01010;ANGLEFORT;2949;1069;01;AIN;84;AUVERGNE-RHONE-ALPES;1350.0;Ain;Rhône-Alpes
1;01138;CULOZ;1912;2940;01;AIN;84;AUVERGNE-RHONE-ALPES;1350.0;Ain;Rhône-Alpes
1;01100;CHEIGNIEU-LA-BALME;591;152;01;AIN;84;AUVERGNE-RHONE-ALPES;1510.0;Ain;Rhône-Alpes
1;01286;PARVES;555;369;01;AIN;84;AUVERGNE-RHONE-ALPES;1300.0;Ain;Rhône-Alpes
1;01032;BELIGNEUX;1331;3172;01;AIN;84;AUVERGNE-RHONE-ALPES;1360.0;Ain;Rhône-Alpes
1;01170;BEARD-GEOVREISSIAT;468;974;01;AIN;84;AUVERGNE-RHONE-ALPES;1460.0;Ain;Rhône-Alpes
1;01141;CUZIEU;484;410;01;AIN;84;AUVERGNE-RHONE-ALPES;1300.0;Ain;Rhône-Alpes
1;01269;NANTUA;1443;3588;01;AIN;84;AUVERGNE-RHONE-ALPES;1460.0;Ain;Rhône-Alpes
1;01106;CIZE;450;173;01;AIN;84;AUVERGNE-RHONE-ALPES;1250.0;Ain;Rhône-Alpes
1;01263;MONTMERLE-SUR-SAONE;406;3847;01;AIN;84;AUVERGNE-RHONE-ALPES;1090.0;Ain;Rhône-Alpes
1;01317;RAMASSE;963;271;01;AIN;84;AUVERGNE-RHONE-ALPES;1250.0;Ain;Rhône-Alpes
1;01091;CHATILLON-EN-MICHAILLE;3768;3136;01;AIN;84;AUVERGNE-RHONE-ALPES;1200.0;Ain;Rhône-Alpes
1;01091;CHATILLON-EN-MICHAILLE;3768;3136;01;AIN;84;AUVERGNE-RHONE-ALPES;1200.0;Ain;Rhône-Alpes
1;01426;TREFFORT-CUISIAT;3973;2265;01;AIN;84;AUVERGNE-RHONE-ALPES;1370.0;Ain;Rhône-Alpes
1;01388;SAINT-TRIVIER-DE-COURTES;1647;1080;01;AIN;84;AUVERGNE-RHONE-ALPES;1560.0;Ain;Rhône-Alpes
1;01338;SAINT-BENOIT;2139;810;01;AIN;84;AUVERGNE-RHONE-ALPES;1680.0;Ain;Rhône-Alpes
1;01262;MONTLUEL;4010;7112;01;AIN;84;AUVERGNE-RHONE-ALPES;1120.0;Ain;Rhône-Alpes
1;01262;MONTLUEL;4010;7112;01;AIN;84;AUVERGNE-RHONE-ALPES;1120.0;Ain;Rhône-Alpes
1;01064;BRIORD;1238;919;01;AIN;84;AUVERGNE-RHONE-ALPES;1470.0;Ain;Rhône-Alpes
1;01139;CURCIAT-DONGALON;2396;451;01;AIN;84;AUVERGNE-RHONE-ALPES;1560.0;Ain;Rhône-Alpes
1;01036;BELMONT-LUTHEZIEU;1969;526;01;AIN;84;AUVERGNE-RHONE-ALPES;1260.0;Ain;Rhône-Alpes
1;01328;ROMANS;2211;594;01;AIN;84;AUVERGNE-RHONE-ALPES;1400.0;Ain;Rhône-Alpes
1;01430;VARAMBON;798;522;01;AIN;84;AUVERGNE-RHONE-ALPES;1160.0;Ain;Rhône-Alpes
1;01344;SAINT-DENIS-LES-BOURG;1261;5504;01;AIN;84;AUVERGNE-RHONE-ALPES;1000.0;Ain;Rhône-Alpes
1;01110;COLOMIEU;584;118;01;AIN;84;AUVERGNE-RHONE-ALPES;1300.0;Ain;Rhône-Alpes
1;01347;SAINT-DIDIER-DE-FORMANS;663;1782;01;AIN;84;AUVERGNE-RHONE-ALPES;1600.0;Ain;Rhône-Alpes
1;01042;BEY;280;260;01;AIN;84;AUVERGNE-RHONE-ALPES;1290.0;Ain;Rhône-Alpes
1;01302;POLLIEU;363;157;01;AIN;84;AUVERGNE-RHONE-ALPES;1350.0;Ain;Rhône-Alpes
1;01146;DOMPIERRE-SUR-CHALARONNE;473;389;01;AIN;84;AUVERGNE-RHONE-ALPES;1400.0;Ain;Rhône-Alpes
1;01049;LA BOISSE;938;2903;01;AIN;84;AUVERGNE-RHONE-ALPES;1120.0;Ain;Rhône-Alpes
1;01376;SAINT-MAURICE-DE-BEYNOST;693;3863;01;AIN;84;AUVERGNE-RHONE-ALPES;1700.0;Ain;Rhône-Alpes
1;01294;PEYRIEU;1406;831;01;AIN;84;AUVERGNE-RHONE-ALPES;1300.0;Ain;Rhône-Alpes
1;01451;VIRIAT;4526;6160;01;AIN;84;AUVERGNE-RHONE-ALPES;1440.0;Ain;Rhône-Alpes
1;01058;BREGNIER-CORDON;1128;889;01;AIN;84;AUVERGNE-RHONE-ALPES;1300.0;Ain;Rhône-Alpes
1;01125;CORVEISSIAT;2293;614;01;AIN;84;AUVERGNE-RHONE-ALPES;1250.0;Ain;Rhône-Alpes
1;01444;VILLEBOIS;1408;1158;01;AIN;84;AUVERGNE-RHONE-ALPES;1150.0;Ain;Rhône-Alpes
1;01296;PIRAJOUX;1303;381;01;AIN;84;AUVERGNE-RHONE-ALPES;1270.0;Ain;Rhône-Alpes
1;01033;BELLEGARDE-SUR-VALSERINE;1542;11590;01;AIN;84;AUVERGNE-RHONE-ALPES;1200.0;Ain;Rhône-Alpes
1;01389;SAINT-TRIVIER-SUR-MOIGNANS;4234;1817;01;AIN;84;AUVERGNE-RHONE-ALPES;1990.0;Ain;Rhône-Alpes
1;01025;BAGE-LA-VILLE;3981;3130;01;AIN;84;AUVERGNE-RHONE-ALPES;1380.0;Ain;Rhône-Alpes
1;01360;SAINT-JEAN-DE-GONVILLE;1216;1501;01;AIN;84;AUVERGNE-RHONE-ALPES;1630.0;Ain;Rhône-Alpes
1;01206;LANTENAY;648;263;01;AIN;84;AUVERGNE-RHONE-ALPES;1430.0;Ain;Rhône-Alpes
1;01382;SAINTE-OLIVE;743;296;01;AIN;84;AUVERGNE-RHONE-ALPES;1330.0;Ain;Rhône-Alpes
1;01149;DOUVRES;524;993;01;AIN;84;AUVERGNE-RHONE-ALPES;1500.0;Ain;Rhône-Alpes
1;01099;CHAZEY-SUR-AIN;2212;1555;01;AIN;84;AUVERGNE-RHONE-ALPES;1150.0;Ain;Rhône-Alpes
1;01355;SAINT-GENIS-SUR-MENTHON;1163;447;01;AIN;84;AUVERGNE-RHONE-ALPES;1380.0;Ain;Rhône-Alpes
1;01030;BEAUREGARD;95;866;01;AIN;84;AUVERGNE-RHONE-ALPES;1480.0;Ain;Rhône-Alpes
1;01249;MIRIBEL;2438;9128;01;AIN;84;AUVERGNE-RHONE-ALPES;1700.0;Ain;Rhône-Alpes
